,id,keywords
0,05fe2ce8-492e-11e1-ba2c-44b5c309d24f,"['biden', 'gop', 'lawmakers', 'speeches', 'chesapeake', 'agenda', 'house', 'mitch', 'criticism', 'retreat', 'told', 'tuesday', 'hopefuls', 'million', 'robust', 'fastest', 'aspires', 'necessities', 'try', 'cantor']"
1,09d73166-5662-11e1-ada7-51a8b156d31a,"['debt', 'obama', 'boehner', 'proposal', 'blueprint', 'wasteful', 'ballooning', 'bold', 'statements', 'efficacy', 'ballots', 'gimmick', 'controlling', 'likely', 'january', 'bring', 'honest', 'reshape', 'kent', 'remained']"
2,7e709a82-66fa-11e1-ad1b-84e7c463da1d,"['redistricting', 'gop', 'mccain', 'ohio', 'strong', 'reaping', 'tuesday', 'controls', 'benefits', 'unprecedented', 'careful', 'bumps', 'half', 'cycle', 'maybe', 'population', 'gersh', 'freshmen', 'marquee', 'pitch']"
3,8e769174-72e5-11e1-a028-615524f9e5e2,"['illinois', 'campaigning', 'gop', 'veterans', 'kinzinger', 'blagojevich', 'redrew', 'manzullo', 'dynamic', 'zinger', 'jesse', 'forcing', 'tuesday', 'upstart', 'likely', 'remained', 'bases', 'counterintuitive', 'wraps', 'backgrounds']"
4,cf0ff5d2-7389-11e1-862c-76c4e0e725cd,"['fiscal', 'medicaid', 'committees', 'reductions', 'gop', 'allocates', 'benefits', 'students', 'tackling', 'montgomery', 'require', 'blueprint', 'envisions', 'upgrading', 'disappointing', 'tuesday', 'authorize', 'brad', '683', 'average']"
5,04bc4706-7ed1-11e1-afcc-ccc07c639b65,"['king', 'partisan', 'moore', 'soros', 'ames', 'abolish', 'grover', 'countercultural', 'joked', 'funding', 'plaque', 'weakness', 'vegetarians', 'norquist', 'roughly', 'reauthorization', 'rooted', 'expect', 'vows', 'ready']"
6,229ff068-85b3-11e1-89af-d6178d1c1a12,"['bipartisan', 'buffett', 'tax', 'gallon', 'energy', 'drilling', 'billionaires', 'forcing', 'monday', 'upton', 'refocusing', 'abundant', 'pointless', 'issues', 'ohio', 'viscerally', 'watch', 'possibly', 'average', 'ready']"
7,1eb302e2-8d74-11e1-a787-6ecf005d6112,"['democrats', 'walker', 'gathering', 'wis', 'reforms', 'running', 'signatures', 'reacting', 'favors', 'couldn', 'bullish', 'forklift', 'recalls', 'benefits', 'wednesday', 'undercut', 'craving', 'measures', 'roots', 'stresses']"
8,88958b42-9f7d-11e1-952b-57ee08f4af2e,"['debt', 'bipartisan', 'deadlock', 'stressed', 'early', 'warned', 'downgrade', 'mix', 'mandatory', 'tackling', 'tolerate', 'boosting', 'homeowners', 'carney', 'ohio', 'agrees', 'significant', 'secretary', 'handful', 'intransigence']"
9,c99c2d12-aa77-11e1-b15f-a61faf9b4d76,"['davis', 'mcdonnell', 'gop', 'electing', 'stance', 'march', 'promises', 'lack', 'stalemate', 'agriculture', 'altmire', 'widely', 'agree', 'resistance', 'unlikely', 'mitt', 'newark', 'diagnosis', 'confirmed', 'accommodating']"
10,0320fcc2-aff8-11e1-80ac-dab76d0e77c0,"['senator', 'lesbian', 'walker', 'polling', 'patty', 'evident', 'maine', 'wis', 'bullish', 'recall', 'gump', 'bring', 'shaping', 'olympia', 'standing', 'wednesday', 'sails', 'declaring', '1957', 'sent']"
11,6901e4e6-c215-11e1-9270-ced50c181bdd,"['republicans', 'contempt', 'constituents', 'rifle', 'boswell', 'carve', 'department', 'disputed', 'endorsements', 'prosecute', 'eric', 'analysis', 'rooted', 'leak', 'horwitz', 'possible', 'agreed', 'instructions', 'thursday', 'received']"
12,92cbe1dc-e0ba-11e1-8fc5-a7dcf1fc161d,"['mccaskill', 'senatorial', 'gop', 'todd', 'leaning', 'electorate', 'tea', 'glenn', 'stimulus', 'constituents', 'waged', 'wildly', 'canter', 'unlike', 'certainly', 'appeal', 'indiana', 'received', 'earmarks', 'defining']"
13,e14b3d6c-eba5-11e1-b811-09036bcb182b,"['gop', 'akin', 'ryan', 'rape', 'embattled', 'reporters', 'spokeswoman', 'beaver', 'notion', 'mitt', 'pregnancy', 'legitimate', 'prepared', 'agree', 'rarely', 'monday', 'bearing', 'redefine', 'wilmington', 'added']"
14,77da926e-1b8a-11e2-a146-ccabc9c85c53,"['campaigning', 'clayton', 'gores', 'jim', 'nevada', 'nail', 'centrist', 'drift', 'hasn', 'installer', 'disavows', 'deposits', 'laverne', 'sacrificial', 'sidelined', 'percentage', 'theories', '382', 'definition', 'transsexuals']"
