id,title,person,liked_news,trust_news,fit_preference,recommend_news,many_to_choose,created,session_id
10,EvaluateChoices,11,Agree,Agree,Agree,Strongly_Agree,Orange,1,500
11,EvaluateChoices,12,Neutral,Disagree,Disagree,Disagree,Green,1,5e4ba9ac7f4cef0aa4f68549
12,EvaluateChoices,13,Strongly_Agree,Neutral,Neutral,Disagree,Orange,1,5f50928b5d41a420553ff777
13,EvaluateChoices,14,Strongly_Agree,Neutral,Neutral,Neutral,Orange,1,57444da52801a200067a75fb
14,EvaluateChoices,15,Strongly_Agree,Strongly_Agree,Strongly_Agree,Disagree,Orange,1,55f244e632af740012170458
15,EvaluateChoices,16,Strongly_Agree,Agree,Agree,Strongly_Disagree,Orange,1,606ca81043fc54382a7808fe
16,EvaluateChoices,19,Agree,Neutral,Neutral,Neutral,Orange,1,60c7c462f6a31fb56f96c218
17,EvaluateChoices,20,Strongly_Agree,Neutral,Disagree,Neutral,Orange,1,5d974512cb19b600164e21a9
18,EvaluateChoices,18,Agree,Neutral,Agree,Disagree,Orange,1,5eee7448b465303350093b53
19,EvaluateChoices,21,Strongly_Agree,Disagree,Neutral,Disagree,Orange,1,5ccf9a2828b5a8000116ec77
20,EvaluateChoices,22,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,Orange,1,5e13542bc12a3699bbdc8753
21,EvaluateChoices,25,Strongly_Agree,Neutral,Agree,Neutral,Orange,1,62f39dbe725e3c5cb274037b
22,EvaluateChoices,23,Strongly_Agree,Agree,Agree,Agree,Orange,1,62686fdb4b7b799abadf0303
23,EvaluateChoices,24,Strongly_Agree,Agree,Strongly_Disagree,Strongly_Disagree,Orange,1,5e89fdffad009e010e958ee7
24,EvaluateChoices,27,Agree,Disagree,Disagree,Neutral,Orange,1,608437f0b139060610c9f0c1
25,EvaluateChoices,28,Strongly_Agree,Agree,Agree,Neutral,Orange,1,5590a34cfdf99b729d4f69dc
26,EvaluateChoices,29,Strongly_Disagree,Neutral,Disagree,Agree,Orange,1,5e25c1a57d6cd1000cf870b8
27,EvaluateChoices,30,Strongly_Agree,Disagree,Disagree,Neutral,Orange,1,5e25c1a57d6cd1000cf870b8
28,EvaluateChoices,32,Strongly_Agree,Disagree,Disagree,Neutral,Orange,1,5e25c1a57d6cd1000cf870b8
29,EvaluateChoices,31,Strongly_Agree,Neutral,Agree,Neutral,Orange,1,5d6fbd3f9ba41b0018d20082
30,EvaluateChoices,34,Strongly_Agree,Disagree,Disagree,Neutral,Orange,1,5e25c1a57d6cd1000cf870b8
31,EvaluateChoices,33,Strongly_Agree,Agree,Neutral,Disagree,Orange,1,5bda12b600c1c4000155cb87
