id,title,person,liked_news,trust_news,fit_preference,recommend_news,created,session_id
10,EvaluateChoices2,11,Disagree,Disagree,Neutral,Strongly_Agree,2,500
11,EvaluateChoices2,13,Agree,Agree,Strongly_Agree,Agree,2,5f50928b5d41a420553ff777
12,EvaluateChoices2,14,Strongly_Agree,Agree,Agree,Neutral,2,57444da52801a200067a75fb
13,EvaluateChoices2,16,Strongly_Agree,Agree,Agree,Strongly_Disagree,2,606ca81043fc54382a7808fe
14,EvaluateChoices2,15,Strongly_Agree,Strongly_Agree,Agree,Agree,2,55f244e632af740012170458
15,EvaluateChoices2,19,Disagree,Neutral,Neutral,Disagree,2,60c7c462f6a31fb56f96c218
16,EvaluateChoices2,21,Strongly_Agree,Disagree,Strongly_Disagree,Strongly_Disagree,2,5ccf9a2828b5a8000116ec77
17,EvaluateChoices2,18,Agree,Agree,Strongly_Agree,Neutral,2,5eee7448b465303350093b53
18,EvaluateChoices2,22,Strongly_Agree,Agree,Strongly_Agree,Strongly_Agree,2,5e13542bc12a3699bbdc8753
19,EvaluateChoices2,20,Strongly_Agree,Neutral,Agree,Neutral,2,5d974512cb19b600164e21a9
20,EvaluateChoices2,25,Strongly_Agree,Strongly_Disagree,Strongly_Disagree,Disagree,2,62f39dbe725e3c5cb274037b
21,EvaluateChoices2,24,Strongly_Disagree,Strongly_Disagree,Strongly_Disagree,Strongly_Disagree,2,5e89fdffad009e010e958ee7
22,EvaluateChoices2,23,Strongly_Agree,Disagree,Disagree,Disagree,2,62686fdb4b7b799abadf0303
23,EvaluateChoices2,27,Agree,Disagree,Agree,Agree,2,608437f0b139060610c9f0c1
24,EvaluateChoices2,31,Agree,Neutral,Strongly_Agree,Neutral,2,5d6fbd3f9ba41b0018d20082
25,EvaluateChoices2,34,Strongly_Agree,Neutral,Disagree,Neutral,2,5e25c1a57d6cd1000cf870b8
26,EvaluateChoices2,33,Strongly_Agree,Disagree,Strongly_Disagree,Strongly_Disagree,2,5bda12b600c1c4000155cb87
